sa1,urban_liveability_index,c_dwelling_density_1600m_per_sqkm,c_street_connectivity_1600m_per_sqkm,c_access_large_public_open_space,c_sa1_prop_affordablehousing,c_sa2_prop_live_work_sa3,c_access_community_culture_leisure,c_access_early_years,c_access_education,c_access_health_services,c_access_sport_rec,c_access_food,c_access_convenience,c_access_busstop2012_400m,c_access_tramstops2012_600m,c_access_trainstations2012_800m,raw_dwelling_density_1600m_per_sqkm,raw_street_connectivity_1600m_per_sqkm,raw_access_large_public_open_space,raw_sa1_prop_affordablehousing,raw_sa2_prop_live_work_sa3,raw_access_community_culture_leisure,raw_access_early_years,raw_access_education,raw_access_health_services,raw_access_sport_rec,raw_access_food,raw_access_convenience,raw_access_busstop2012_400m,raw_access_tramstops2012_600m,raw_access_trainstations2012_800m
2110513,107.2578693,122.9018082,109.4853307,88.85653403,97.5149557,87.21791242,103.1002182,107.1439907,109.9284884,112.0896964,109.4618054,114.0453005,107.0940428,108.7266094,120.3089332,128.7169559,25.11828561,85.26617629,0.0374566,0.090909091,0.132167612,0.340401383,0.856133557,0.825279308,0.729449163,0.599900241,0.944345481,0.662130535,0.917402925,0.719250396,0.896469013
2110514,105.8992784,121.9366044,108.1322846,91.96361973,99.50780964,87.21791242,98.06518606,106.8411425,110.6446708,107.6312975,108.700384,111.9020643,103.9677321,109.1880788,111.5674916,125.6950748,24.62291869,82.97166693,0.161506495,0.107142857,0.132167612,0.228461633,0.847899463,0.844258446,0.611634187,0.582589274,0.879562769,0.56947221,0.934630122,0.461362426,0.803222436
2110515,104.5586935,120.938394,106.9295027,101.5027186,97.77449016,87.21791242,97.6886278,106.8956034,113.0432849,103.6548823,106.8370609,108.2252321,101.0842824,109.4935598,100.3523003,117.1671401,24.09447595,80.93197712,0.542353474,0.093023256,0.132167612,0.220089921,0.849380193,0.90782273,0.506555826,0.540226497,0.768424687,0.484011856,0.946034093,0.130494467,0.55733668
2110516,104.6379178,119.8456205,104.6377138,106.0788181,104.4078858,87.21791242,100.1609369,109.5741193,115.1023428,103.984245,102.1191987,104.4950659,100.4423632,108.908373,103.0141363,107.486099,23.55982433,77.04553821,0.72505351,0.147058824,0.132167612,0.275054745,0.922205955,0.962388633,0.515259366,0.432965576,0.655674503,0.464986503,0.924188376,0.209023332,0.308290863
2110517,102.0762829,118.1632052,101.8610249,88.5718801,102.5685325,87.21791242,98.12497226,109.3673976,114.4361105,105.4123142,104.1065484,103.8283876,101.2043271,104.9457626,99.81228379,100.6849485,22.73668387,72.33680095,0.026091838,0.132075472,0.132167612,0.22979081,0.91658543,0.944733195,0.552996665,0.478148108,0.635523096,0.487569768,0.776259439,0.114563027,0.138842661
2110518,104.1106345,119.3442882,103.608058,92.41201392,103.4049462,87.21791242,98.73116543,109.0269555,114.9453433,105.2280223,102.805509,106.125031,101.470589,109.8755483,105.4007033,112.1674041,23.31454192,75.29943744,0.17940856,0.138888889,0.132167612,0.243267807,0.907329202,0.958228081,0.548126679,0.448568887,0.704942783,0.495461299,0.960294175,0.279431276,0.429394054
2110519,106.4816811,120.0912473,105.9646122,88.04548933,106.2619687,87.21791242,96.08525196,108.9122974,111.0690447,111.4581514,101.7118468,112.903608,106.8527052,108.805149,119.8123492,129.6213312,23.67999998,79.2957061,0.005075771,0.162162162,0.132167612,0.184443378,0.904211781,0.855504533,0.712760334,0.423704404,0.909836016,0.654977714,0.920334902,0.704600292,0.926099895
2110520,101.7315841,118.5061354,101.7763545,87.97660728,86.35497363,87.21791242,96.30544491,107.4222893,111.0418766,106.7290393,104.5518246,108.2164458,101.3393185,107.0353745,102.6825618,111.9099499,22.90446631,72.19321608,0.002325668,0,0.132167612,0.189338748,0.863700176,0.854784566,0.587791653,0.488271493,0.76815911,0.491570673,0.854267123,0.199241301,0.420195143
2110521,108.3889961,124.9734174,108.8174664,90.99313512,122.2301793,87.21791242,110.0470604,102.9297678,112.3588846,110.8736398,105.990084,113.6872259,115.3589991,108.3829008,124.9993177,102.9067581,27.67825988,84.13360514,0.122760053,0.292307692,0.132167612,0.494844841,0.74155369,0.889685832,0.69731438,0.520970419,0.933522108,0.907089239,0.904571877,0.857625026,0.194198241
2110522,110.8365207,122.2604518,110.9544175,99.44859939,107.6500415,87.21791242,120.1338693,102.6709219,112.165052,112.7059639,115.991494,114.5349599,116.0614743,107.9401326,124.8935496,121.5657619,25.13011511,87.75746861,0.460343098,0.173469388,0.132167612,0.726205222,0.734515968,0.884549187,0.745734278,0.748353159,0.959146211,0.927909363,0.888042814,0.85450468,0.682436472
2110523,109.1835507,124.6269272,111.1539002,89.21163346,112.6606456,87.21791242,116.1794906,106.0239874,111.0826117,115.4878592,109.968489,114.845312,116.4355027,102.7907542,126.9002658,110.2335501,27.41850533,88.09575343,0.051633888,0.214285714,0.132167612,0.637795807,0.825681958,0.855864063,0.819246975,0.611419727,0.968527095,0.938994902,0.695810424,0.913706353,0.389034267
2110524,108.8799087,124.9186696,112.3398072,88.461891,105.5361928,87.21791242,115.2160948,108.0429105,111.6774178,119.1807137,110.3747434,114.9988612,117.0674344,108.4809399,127.2817653,99.42621563,27.51020391,90.10682656,0.021700541,0.15625,0.132167612,0.609872462,0.880574152,0.871626675,0.91683213,0.620655949,0.973168364,0.957724243,0.908231793,0.924961263,0.107481787
